plotid,sampleid,sample_internal_id,lon,lat,imagery_title,for2000,for2008,for2021,fcc_p1,fcc_p2,for2021_fnf,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,gain,lossyear,treecover2000
9,132,750583175,165.96127800000002,-21.707133494333775,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,4,4,0,NA,45
9,133,750583176,165.96127800000002,-21.706863999999996,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,1,NA,24
9,134,750583177,165.96127800000002,-21.70659450516162,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
9,135,750583178,165.96156806348927,-21.707133494333775,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
9,136,750583179,165.96156806348927,-21.706863999999996,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,4,4,0,NA,45
9,137,750583180,165.96156806348927,-21.70659450516162,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
10,145,750583181,165.95663993591418,-21.70742949433378,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
10,146,750583182,165.95663993591418,-21.70716,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
10,147,750583183,165.95663993591418,-21.70689050516161,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
10,148,750583184,165.95693000000003,-21.70742949433378,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
10,149,750583185,165.95693000000003,-21.70716,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,0
10,150,750583186,165.95693000000003,-21.70689050516161,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
10,151,750583187,165.95722006408582,-21.70742949433378,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
10,152,750583188,165.95722006408582,-21.70716,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
10,153,750583189,165.95722006408582,-21.70689050516161,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,0
11,161,750583190,165.9332019192551,-21.71569349433368,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
11,162,750583191,165.9332019192551,-21.715424,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
11,163,750583192,165.9332019192551,-21.71515450516152,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
11,164,750583193,165.933492,-21.71569349433368,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
11,165,750583194,165.933492,-21.715424,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
11,166,750583195,165.933492,-21.71515450516152,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
11,167,750583196,165.93378208074483,-21.71569349433368,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
11,168,750583197,165.93378208074483,-21.715424,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
11,169,750583198,165.93378208074483,-21.71515450516152,Othophoto_2010,Forest,NonForest,NA,loss,NA,NA,6,6,6,6,6,6,0,NA,45
12,177,750583199,166.0698489078025,-21.721372494333593,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,39
12,178,750583200,166.0698489078025,-21.721103000000017,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,28
