system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,lat,lon,loss,lossyear,treecover2000,.geo
23335,6,6,6,6,6,6,1,0,23335,-21.43988999999999,165.149199529581,0,,16,"{""type"":""Point"",""coordinates"":[165.14919952958104,-21.439889999999995]}"
23336,6,6,6,6,6,6,1,0,23336,-21.609289999999987,165.54414013260228,0,,0,"{""type"":""Point"",""coordinates"":[165.54414013260228,-21.60928999999999]}"
23337,6,6,6,6,6,6,1,0,23337,-21.60902050516286,165.54414013260228,0,,0,"{""type"":""Point"",""coordinates"":[165.54414013260228,-21.609020505162864]}"
23338,6,6,6,6,6,6,1,0,23338,-21.439620505165024,165.149199529581,0,,0,"{""type"":""Point"",""coordinates"":[165.14919952958104,-21.43962050516502]}"
23339,6,6,6,6,6,6,1,0,23339,-21.60955949433503,165.54443,0,,0,"{""type"":""Point"",""coordinates"":[165.54443,-21.609559494335034]}"
23340,6,6,6,6,6,6,1,0,23340,-21.609289999999987,165.54443,0,,0,"{""type"":""Point"",""coordinates"":[165.54443,-21.60928999999999]}"
23341,6,6,6,6,6,6,1,0,23341,-21.60902050516286,165.54443,0,,6,"{""type"":""Point"",""coordinates"":[165.54443,-21.60902050516286]}"
23342,6,6,6,6,6,6,1,0,23342,-21.60955949433503,165.54471986739776,0,,0,"{""type"":""Point"",""coordinates"":[165.54471986739776,-21.60955949433503]}"
23343,6,6,6,6,6,6,1,0,23343,-21.609289999999987,165.54471986739776,0,,0,"{""type"":""Point"",""coordinates"":[165.54471986739776,-21.609289999999987]}"
23344,6,6,6,6,6,6,1,0,23344,-21.77799050516072,166.15471020767333,0,,45,"{""type"":""Point"",""coordinates"":[166.15471020767333,-21.77799050516072]}"
23345,6,6,6,6,6,6,1,0,23345,-21.60902050516286,165.54471986739776,0,,6,"{""type"":""Point"",""coordinates"":[165.54471986739776,-21.60902050516286]}"
23346,6,6,6,6,6,6,1,0,23346,-21.60955949433503,165.54414013260228,0,,0,"{""type"":""Point"",""coordinates"":[165.54414013260228,-21.609559494335034]}"
23347,6,6,6,6,6,6,1,0,23347,-21.609289999999987,165.54414013260228,0,,0,"{""type"":""Point"",""coordinates"":[165.54414013260228,-21.60928999999999]}"
23348,6,6,6,6,6,6,1,0,23348,-21.60902050516286,165.54414013260228,0,,0,"{""type"":""Point"",""coordinates"":[165.54414013260228,-21.609020505162864]}"
23349,6,6,6,6,6,6,1,0,23349,-21.60955949433503,165.54443,0,,0,"{""type"":""Point"",""coordinates"":[165.54443,-21.609559494335034]}"
23350,6,6,6,6,6,6,1,0,23350,-21.78293949433278,165.87704978340116,0,,39,"{""type"":""Point"",""coordinates"":[165.87704978340116,-21.78293949433278]}"
23351,6,6,6,6,6,6,1,0,23351,-21.609289999999987,165.54443,0,,0,"{""type"":""Point"",""coordinates"":[165.54443,-21.60928999999999]}"
23352,6,6,6,6,6,6,1,0,23352,-21.60902050516286,165.54443,0,,6,"{""type"":""Point"",""coordinates"":[165.54443,-21.60902050516286]}"
23353,6,6,6,6,6,6,1,0,23353,-21.60955949433503,165.54471986739776,0,,0,"{""type"":""Point"",""coordinates"":[165.54471986739776,-21.60955949433503]}"
23354,6,6,6,6,6,6,1,0,23354,-21.609289999999987,165.54471986739776,0,,0,"{""type"":""Point"",""coordinates"":[165.54471986739776,-21.609289999999987]}"
23355,6,6,6,6,6,6,1,0,23355,-21.60902050516286,165.54471986739776,0,,6,"{""type"":""Point"",""coordinates"":[165.54471986739776,-21.60902050516286]}"
23356,6,6,6,6,6,6,1,0,23356,-21.61424949433496,166.08036012320215,0,,37,"{""type"":""Point"",""coordinates"":[166.08036012320215,-21.61424949433496]}"
