system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,loss,lossyear,treecover2000,.geo
69,6,6,6,6,6,6,1,0,69,0,,45,"{""type"":""Point"",""coordinates"":[165.27301442829884,-21.38850550516568]}"
70,6,6,6,6,6,6,1,0,70,0,,37,"{""type"":""Point"",""coordinates"":[165.27632943306998,-21.458970494336956]}"
71,6,6,6,6,6,6,1,0,71,1,13,37,"{""type"":""Point"",""coordinates"":[165.27632943306998,-21.458701000000005]}"
72,6,6,6,6,6,6,1,0,72,0,,29,"{""type"":""Point"",""coordinates"":[165.27632943306998,-21.4584315051648]}"
73,6,6,6,6,6,6,1,0,73,0,,33,"{""type"":""Point"",""coordinates"":[165.276619,-21.458970494336956]}"
74,6,6,6,6,6,6,1,0,74,1,13,37,"{""type"":""Point"",""coordinates"":[165.276619,-21.458701000000005]}"
75,6,6,6,6,6,6,1,0,75,0,,37,"{""type"":""Point"",""coordinates"":[165.276619,-21.4584315051648]}"
76,6,6,6,6,6,6,1,0,76,1,13,37,"{""type"":""Point"",""coordinates"":[165.27690856693008,-21.458970494336956]}"
77,6,6,6,6,6,6,1,0,77,0,,37,"{""type"":""Point"",""coordinates"":[165.27690856693008,-21.458701000000005]}"
78,6,6,6,6,6,6,1,0,78,0,,28,"{""type"":""Point"",""coordinates"":[165.27690856693008,-21.4584315051648]}"
79,6,6,6,6,6,6,1,0,79,1,16,45,"{""type"":""Point"",""coordinates"":[165.28397031713,-21.51723349433621]}"
80,6,6,6,6,6,6,1,0,80,1,16,37,"{""type"":""Point"",""coordinates"":[165.28397031713,-21.516964]}"
81,6,6,6,6,6,6,1,0,81,1,18,56,"{""type"":""Point"",""coordinates"":[165.28397031713,-21.516694505164057]}"
82,6,6,6,6,6,6,1,0,82,1,16,45,"{""type"":""Point"",""coordinates"":[165.28426,-21.51723349433621]}"
83,6,6,6,6,6,6,1,0,83,1,16,45,"{""type"":""Point"",""coordinates"":[165.28426,-21.516964]}"
84,6,6,6,6,6,6,1,0,84,1,18,37,"{""type"":""Point"",""coordinates"":[165.28426,-21.516694505164057]}"
85,6,6,6,6,6,6,1,0,85,1,18,45,"{""type"":""Point"",""coordinates"":[165.28454968287,-21.51723349433621]}"
86,6,6,6,6,6,6,1,0,86,1,18,39,"{""type"":""Point"",""coordinates"":[165.28454968287,-21.516964]}"
87,6,6,6,6,6,6,1,0,87,0,,37,"{""type"":""Point"",""coordinates"":[165.28454968287,-21.516694505164057]}"
88,1,1,1,1,1,1,1,0,88,0,,74,"{""type"":""Point"",""coordinates"":[165.29269057552145,-21.38711349433787]}"
89,1,1,1,1,1,1,1,0,89,0,,78,"{""type"":""Point"",""coordinates"":[165.29269057552145,-21.386844]}"
90,1,1,1,1,1,1,1,0,90,0,,76,"{""type"":""Point"",""coordinates"":[165.29269057552145,-21.38657450516571]}"
91,1,1,2,2,3,3,1,0,91,0,,74,"{""type"":""Point"",""coordinates"":[165.29298,-21.387113494337868]}"
92,1,1,1,1,3,3,1,0,92,0,,62,"{""type"":""Point"",""coordinates"":[165.29298,-21.386844]}"
93,1,1,1,1,2,2,1,0,93,0,,62,"{""type"":""Point"",""coordinates"":[165.29298,-21.38657450516571]}"
94,6,6,6,6,6,6,1,0,94,0,,74,"{""type"":""Point"",""coordinates"":[165.29326942447852,-21.38711349433787]}"
95,6,6,6,6,6,6,1,0,95,0,,51,"{""type"":""Point"",""coordinates"":[165.29326942447852,-21.386844]}"
96,6,6,6,6,6,6,1,0,96,0,,45,"{""type"":""Point"",""coordinates"":[165.29326942447852,-21.38657450516571]}"
97,1,1,1,1,4,4,1,0,97,0,,45,"{""type"":""Point"",""coordinates"":[165.2958765733868,-21.38819249433785]}"
98,1,1,1,1,1,1,1,0,98,0,,45,"{""type"":""Point"",""coordinates"":[165.2958765733868,-21.387923]}"
99,1,1,1,1,1,1,1,0,99,0,,66,"{""type"":""Point"",""coordinates"":[165.2958765733868,-21.3876535051657]}"
