plotid,sampleid,Classification_MAJ,Classification_2010
68,1080,Non Forêt,Forêt
68,1081,Non Forêt,Forêt
69,1089,Non Forêt,Non Forêt
69,1090,Non Forêt,Non Forêt
69,1091,Non Forêt,Non Forêt
69,1092,Non Forêt,Non Forêt
69,1093,Non Forêt,Non Forêt
69,1094,Non Forêt,Non Forêt
69,1095,Non Forêt,Forêt
69,1096,Non Forêt,Non Forêt
69,1097,Non Forêt,Non Forêt
70,1105,Non Forêt,Non Forêt
70,1106,Forêt,Forêt
70,1107,Forêt,Forêt
70,1108,Non Forêt,Non Forêt
70,1109,Forêt,Forêt
70,1110,Forêt,Forêt
70,1111,Non interprétable,Forêt
70,1112,Non interprétable,Forêt
70,1113,Forêt,Forêt
71,1121,Non interprétable,Non Forêt
71,1122,Non interprétable,Non Forêt
71,1123,Non Forêt,Non Forêt
71,1124,Non Forêt,Non Forêt
71,1125,Non interprétable,Non Forêt
71,1126,Non Forêt,Non Forêt
71,1127,Non interprétable,Non Forêt
71,1128,Non Forêt,Non Forêt
71,1129,Non Forêt,Non Forêt
72,1137,Forêt,Forêt
72,1138,Non Forêt,Non Forêt
72,1139,Non Forêt,Non Forêt
72,1140,Forêt,Forêt
72,1141,Non Forêt,Non Forêt
72,1142,Non Forêt,Non Forêt
72,1143,Forêt,Forêt
72,1144,Non Forêt,Forêt
72,1145,Non Forêt,Non Forêt
73,1153,Non Forêt,Non Forêt
73,1154,Non Forêt,Non Forêt
73,1155,Non Forêt,Non Forêt
73,1156,Non Forêt,Non Forêt
73,1157,Non Forêt,Non Forêt
73,1158,Non Forêt,Non Forêt
73,1159,Non Forêt,Non Forêt
73,1160,Non Forêt,Non Forêt
73,1161,Non Forêt,Non Forêt
74,1169,Non Forêt,Non Forêt
74,1170,Non Forêt,Non Forêt
74,1171,Non Forêt,Non Forêt
74,1172,Non Forêt,Non Forêt
74,1173,Non Forêt,Non Forêt
74,1174,Non Forêt,Non Forêt
74,1175,Non Forêt,Non Forêt
74,1176,Non Forêt,Non Forêt
74,1177,Non Forêt,Non Forêt
75,1185,Non Forêt,Non Forêt
75,1186,Non Forêt,Non Forêt
75,1187,Non Forêt,Non Forêt
75,1188,Non Forêt,Non Forêt
75,1189,Non interprétable,Non Forêt
75,1190,Non Forêt,Non Forêt
75,1191,Non Forêt,Non Forêt
75,1192,Non Forêt,Forêt
75,1193,Non Forêt,Non Forêt
76,1201,Non Forêt,Non Forêt
76,1202,Non Forêt,Non Forêt
76,1203,Non Forêt,Forêt
76,1204,Non Forêt,Non Forêt
76,1205,Non Forêt,Forêt
76,1206,Non interprétable,Forêt
76,1207,Non Forêt,Non Forêt
76,1208,Non Forêt,Non Forêt
76,1209,Non Forêt,Non Forêt
77,1217,Non interprétable,Non Forêt
77,1218,Non Forêt,Non Forêt
77,1219,Non Forêt,Non Forêt
77,1220,Non Forêt,Non Forêt
77,1221,Non Forêt,Non Forêt
77,1222,Non Forêt,Non Forêt
77,1223,Non Forêt,Non Forêt
77,1224,Non Forêt,Non Forêt
77,1225,Non Forêt,Non Forêt
78,1233,Non Forêt,Forêt
78,1234,Non Forêt,Forêt
78,1235,Non Forêt,Forêt
78,1236,Non Forêt,Forêt
78,1237,Non Forêt,Forêt
